	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16
ACADVL	11835	9495	6780	10507	10272	7664	18112	12182	13911	15665	13578	8704	9141	17837	20185	8908
ACAN	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ACAP1	17	10	6	7	12	3	16	10	10	22	14	10	3	13	16	7
ACAP2	1774	1519	1090	1662	1277	1082	2000	1507	939	1077	940	913	1060	1232	1367	712
ACAP3	1340	1044	705	1040	1229	1005	2087	1397	1229	1404	1173	681	846	1673	1958	862
ACAT1	5735	5057	3251	5460	6060	5225	9988	7446	6342	7269	6477	3924	5685	10364	10824	4923
ACAT2	4923	4060	2729	4796	3603	3238	6315	4770	3246	3769	3482	2333	2528	3887	4051	1983
ACBD3	3537	2922	2032	3186	2848	2436	4941	3570	821	835	789	785	892	1152	1253	586
ACBD4	229	186	142	191	161	160	281	229	243	222	185	92	92	198	215	97
ACBD5	1575	1404	938	1381	1552	1207	2408	1687	885	1046	980	762	909	1405	1430	719
ACBD6	3002	2676	1738	2793	2715	2391	4695	3471	1646	1769	1524	867	1022	2023	2079	1033
ACBD7	37	25	15	29	52	41	77	66	35	26	20	17	35	50	47	29
ACCS	159	141	89	142	98	78	142	103	132	121	109	68	61	118	158	55
ACCSL	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ACD	1738	1469	1009	1571	1335	996	2198	1665	818	932	795	485	473	966	1090	452
ACE	2	3	1	1	13	3	9	9	3	0	2	1	5	14	13	2
ACE2	0	3	1	1	3	2	2	0	0	1	1	0	0	2	0	2
ACER1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0
ACER2	154	127	115	140	218	195	378	284	345	474	447	446	417	694	795	418
ACER3	2002	1602	972	1546	1263	1097	2185	1582	1417	1630	1398	1126	1136	1520	1640	781
ACHE	2	1	0	0	1	0	1	0	2	0	1	0	0	1	4	1
ACIN1	8810	7541	5275	8239	6720	5601	11199	8462	3884	4401	3969	2455	2187	4316	4688	2120
ACKR1	15	22	18	20	12	11	19	10	11	22	20	8	8	7	7	4
ACKR2	5	1	1	2	10	5	9	10	8	2	9	5	6	17	13	11
ACKR3	3	3	0	4	3	2	3	3	2	1	3	3	2	0	0	3
ACKR4	4	3	1	7	1	1	2	3	3	3	1	0	1	0	2	1
ACLY	21669	18508	12459	20141	18214	15108	32154	23228	10432	12484	10835	6220	7500	14672	15740	7347
ACMSD	16	9	12	22	26	12	31	15	8	20	16	12	6	18	18	3
ACO1	2181	2026	1222	2125	2026	1697	3303	2515	1509	1754	1521	1006	1148	2051	2257	1069
ACO2	6006	5231	3551	5712	6926	5535	11532	8589	5202	6307	5467	3297	4722	9004	10175	4594
ACOT1	101	71	37	60	47	44	105	55	116	113	97	63	59	103	105	42
ACOT11	1181	1170	779	1186	776	687	1388	1072	533	615	526	295	222	511	512	243
ACOT12	0	0	0	0	0	0	0	0	2	1	1	1	0	1	5	2
ACOT13	1336	1083	753	1230	1526	1360	2552	1922	1127	1225	1288	849	1320	2185	2184	1134
ACOT2	384	259	136	244	285	200	511	270	205	252	214	148	151	321	356	138
ACOT4	0	3	0	0	0	0	0	0	2	5	4	0	1	8	5	2
ACOT6	1	4	0	0	1	0	1	0	3	2	1	0	1	4	6	2
ACOT7	4791	4084	2829	4400	3811	3016	6517	5040	4626	5532	4803	2632	2379	5021	5555	2488
ACOT8	719	637	416	680	626	483	906	783	609	670	610	379	339	637	815	356
ACOT9	2108	1784	1173	1972	1404	1113	2361	1708	1452	1689	1497	856	727	1333	1365	697
ACOX1	1267	1043	681	1081	1040	890	1701	1314	1099	1372	1175	876	836	1386	1709	754
ACOX2	374	359	197	350	307	301	578	462	264	288	283	134	206	385	391	187
ACOX3	742	612	409	664	613	492	1042	746	422	490	397	220	288	527	562	252
ACOXL	2	1	0	1	1	0	1	1	0	0	1	0	0	1	1	0
ACP1	3971	3162	2371	3795	3482	2714	5674	4219	3253	3771	3490	2385	2571	4099	4507	2049
ACP2	677	551	413	596	746	551	1239	913	468	504	397	248	416	813	922	415
ACP5	9	8	3	6	7	2	4	6	13	10	9	1	3	5	13	2
ACP6	711	651	405	671	541	386	927	632	392	469	406	262	242	468	468	210
ACPP	7	10	3	14	7	4	10	3	2	1	4	2	1	9	3	1
ACPT	4	5	2	4	5	6	4	0	7	5	13	7	8	7	13	6
ACR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACRBP	0	4	1	3	0	1	4	0	2	10	6	8	3	16	11	8
ACRC	76	57	39	71	51	40	75	62	249	264	269	211	269	388	413	219
ACRV1	20	15	9	13	11	13	18	15	11	7	8	7	1	22	11	4
ACSBG1	17	10	5	18	16	12	30	11	13	25	13	5	12	22	27	7
ACSBG2	4	11	4	9	8	7	20	11	1	2	2	2	4	6	6	4
ACSF2	570	527	346	531	548	493	1020	743	740	701	656	410	565	1133	1252	498
ACSF3	1046	917	636	937	923	746	1579	1179	628	734	643	423	454	897	997	393
ACSL1	6650	6272	3555	6024	4695	4444	6807	5098	2751	3005	2607	1563	2311	3871	3895	1924
ACSL3	7604	6007	4346	6956	6294	5233	10771	7756	2866	3213	2976	2064	2690	4062	4046	2018
ACSL4	4323	3882	2198	3530	4231	4129	7210	5276	2011	2427	1865	1600	2501	3137	3109	1709
ACSL5	82	59	32	45	78	80	123	87	69	57	54	28	73	155	128	60
ACSL6	1	1	1	2	2	3	8	1	0	6	4	3	3	4	5	2
ACSM1	1	0	0	1	0	0	1	0	1	0	3	1	2	5	5	0
ACSM2A	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSM2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSM3	154	79	92	118	211	137	275	248	113	105	89	136	271	169	196	103
ACSM4	0	2	0	0	2	0	1	1	0	0	0	0	0	0	0	0
ACSM5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ACSM6	2	0	0	2	0	1	1	0	0	0	0	0	0	1	0	0
ACSS1	31	26	15	19	9	8	25	14	23	20	21	7	13	9	10	5
ACSS2	2577	2189	1480	2557	1903	1667	3466	2445	1930	2034	1816	1127	1473	2682	2862	1371
ACSS3	1	3	0	0	1	0	0	0	1	0	0	0	0	1	0	0
ACTA1	10	10	5	6	3	3	6	5	60	45	50	24	51	82	113	43
ACTA2	289	280	190	297	246	185	412	316	418	517	491	357	239	479	546	247
ACTA2-AS1	110	96	83	106	99	80	160	143	172	251	210	170	117	243	243	109
ACTB	146570	115341	86437	132489	117209	88986	206386	158031	110653	127882	106384	54090	61244	115272	134016	54447
ACTBL2	6	3	0	5	3	0	1	1	4	1	0	3	3	0	2	3
ACTC1	2	1	0	0	0	1	2	0	34	42	28	16	28	47	58	17
ACTG1	78578	60356	47085	71788	41958	32315	76754	55959	66414	79429	65221	36913	28222	50580	54671	24055
ACTG1P17	13	11	4	5	7	6	8	10	11	21	28	13	20	44	45	22
ACTG1P20	121	102	79	92	93	68	120	99	64	80	79	35	39	63	70	52
ACTG1P4	2	5	1	6	5	3	6	3	32	29	25	31	45	70	67	40
ACTG2	16	18	4	17	7	7	8	4	9	8	9	5	8	11	10	3
ACTL10	237	178	122	164	118	79	254	99	17	19	18	7	12	17	25	9
ACTL6A	4451	3711	2625	4360	3912	3139	6602	4678	3020	3465	3219	1853	2148	3829	3974	1930
ACTL6B	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ACTL7A	0	3	0	1	0	0	1	0	0	1	2	0	4	2	3	0
ACTL7B	1	0	0	1	0	0	1	0	3	1	2	2	1	2	4	4
ACTL8	39	55	34	67	9	5	24	15	42	45	51	40	7	11	21	4
ACTL9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTN1	18007	14492	9550	14910	14370	11192	25320	18783	9451	11572	8428	4612	5707	10908	12171	5534
ACTN1-AS1	2	1	0	0	1	0	1	2	7	10	5	2	1	1	8	3
ACTN2	1	5	1	1	1	0	2	0	0	1	0	1	0	0	0	0
ACTN3	2	3	0	0	0	0	2	1	2	1	2	2	1	1	2	0
ACTN4	20181	16383	11898	18588	19692	14541	34266	25294	19216	22868	19577	11731	13869	25359	28105	12306
ACTR10	1912	1480	1137	1699	1766	1435	2855	2118	1585	1777	1566	1116	1268	2088	2118	1114
ACTR1A	5946	4951	3454	5618	4995	4005	8338	6173	3626	4308	3880	2209	2406	4599	5170	2304
ACTR1B	1781	1529	1107	1656	1347	1041	2355	1722	1336	1536	1345	800	794	1572	1862	738
ACTR2	14844	11603	8404	13279	10738	8746	17349	13705	10081	11907	10723	8954	10868	13232	13864	6755
ACTR3	9670	7947	5176	8318	6351	5162	10600	7755	5882	6872	5990	4220	3745	5432	5451	2779
ACTR3B	446	370	277	412	310	267	544	439	162	199	174	114	98	173	208	92
ACTR3BP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTR3BP5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTR3C	14	9	5	12	7	11	22	8	5	10	5	5	5	8	10	2
ACTR5	1054	919	642	1069	986	801	1739	1205	277	294	249	139	249	427	422	208
ACTR6	1203	992	722	1118	564	526	914	762	635	587	620	511	311	416	463	240
ACTR8	1328	1076	773	1184	1050	792	1659	1243	516	622	494	361	294	564	675	296
ACTRT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT3	173	147	107	142	83	69	143	93	24	20	30	19	11	22	25	20
ACVR1	669	545	342	562	223	185	326	205	214	254	244	142	31	62	75	27
ACVR1B	866	796	500	917	413	318	714	486	192	231	211	134	77	186	204	98
ACVR1C	2	4	3	7	1	1	4	6	5	11	7	9	14	11	16	7
ACVR2A	279	243	154	283	208	192	383	300	70	85	89	74	97	121	162	85
ACVR2B	350	328	197	298	234	168	347	253	65	73	64	39	52	58	82	45
ACVR2B-AS1	11	17	6	7	8	3	10	9	6	10	9	0	4	8	8	5
ACVRL1	2	0	1	1	1	0	0	2	0	0	2	1	0	1	0	0
ACY1	1979	1784	1128	1885	2074	1740	3592	2672	2235	2536	2095	1304	1522	3102	3382	1487
ACY3	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0
ACYP1	384	350	233	346	303	256	540	351	374	402	417	272	285	408	464	216
ACYP2	162	139	91	151	44	37	70	56	191	196	181	127	48	90	83	36
ADA	1071	968	602	1017	1285	1011	2417	1628	813	1017	805	455	761	1487	1652	738
ADAD1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ADAD2	0	1	1	0	0	0	1	1	0	0	0	3	0	0	1	0
ADAL	561	432	304	509	550	488	897	614	455	508	442	321	406	707	822	401
ADAM10	3820	3098	2202	3451	2583	2062	4375	3032	1622	2063	1771	1271	1093	1605	1758	897
ADAM11	17	18	7	13	15	21	57	36	28	39	50	28	19	56	70	32
ADAM12	451	362	215	393	262	239	529	330	290	363	216	177	176	272	286	141
ADAM15	17912	15288	10561	16365	14472	11827	25201	18192	15825	18109	15652	9177	9999	19433	21743	9451
ADAM17	1765	1475	1058	1620	1237	1035	2127	1587	1015	1216	1014	793	718	1222	1192	586
ADAM18	1	3	0	1	0	0	0	0	0	0	0	0	0	1	0	0
ADAM19	502	358	207	340	863	617	1436	983	183	205	152	97	247	436	554	228
ADAM1A	161	118	110	172	127	107	217	158	61	81	66	45	54	82	100	41
ADAM2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ADAM20	0	1	0	1	0	1	3	6	2	1	1	3	1	1	5	0
ADAM20P1	4	8	3	5	4	1	1	11	3	5	4	4	4	2	8	3
ADAM21	66	74	52	69	148	122	239	161	68	99	66	53	79	138	159	66
ADAM21P1	9	9	3	7	15	13	28	15	9	12	9	4	9	25	24	13
ADAM22	9	10	15	11	11	10	28	20	5	6	9	8	13	12	16	6
ADAM23	89	63	37	59	44	30	75	52	39	39	33	22	22	29	39	14
ADAM28	1	6	0	1	0	0	0	1	0	0	3	1	3	3	1	1
ADAM29	2	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0
ADAM30	0	0	0	0	0	0	0	0	1	1	4	2	0	1	6	0
ADAM32	8	12	11	10	13	4	22	11	24	24	28	23	19	20	27	11
ADAM33	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM3A	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ADAM5	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0
ADAM6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM7	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM8	460	408	225	345	280	206	423	330	362	412	315	186	180	332	338	129
ADAM9	8124	6638	4462	7149	5857	4823	9687	6807	6142	7130	6218	4798	5053	6614	6990	3388
ADAMDEC1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS1	57	42	24	45	72	38	130	68	4	1	4	1	0	3	2	1
ADAMTS10	0	5	0	0	0	0	0	0	0	0	0	0	0	2	1	0
ADAMTS12	37	40	11	31	22	26	41	29	11	22	24	7	4	14	18	7
ADAMTS13	26	27	19	27	50	32	71	49	52	43	43	35	56	65	82	31
ADAMTS14	10	15	4	12	10	20	18	16	8	9	8	12	14	18	28	7
ADAMTS15	56	54	29	50	84	72	179	123	1	3	3	1	4	16	5	3
ADAMTS16	1	4	0	1	0	0	2	2	0	0	0	0	0	2	2	0
ADAMTS17	6	10	0	5	6	6	13	8	9	3	8	1	1	10	15	6
ADAMTS18	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS19	4	5	7	7	3	3	10	5	3	2	0	0	5	3	1	4
ADAMTS19-AS1	0	0	0	1	2	2	0	4	0	1	0	1	2	1	0	0
ADAMTS2	3	2	0	2	2	1	4	5	0	1	2	0	1	0	2	2
ADAMTS20	1	0	1	4	0	0	1	0	0	0	0	1	0	0	1	0
ADAMTS3	25	21	13	13	24	7	32	15	4	7	6	3	5	7	13	3
ADAMTS4	9	3	8	12	8	7	12	13	6	6	6	4	0	6	4	3
ADAMTS5	1	3	1	1	1	1	0	1	0	0	0	0	1	2	2	0
ADAMTS6	81	74	46	75	47	40	76	52	23	39	27	25	17	23	22	18
ADAMTS7	582	503	293	442	359	266	624	388	629	769	643	429	265	576	689	318
ADAMTS7P1	10	5	5	5	7	3	11	6	11	12	5	7	6	9	10	10
ADAMTS8	2	0	0	0	0	2	1	1	2	2	2	1	3	2	5	2
ADAMTS9	22	22	23	25	8	9	12	9	7	12	5	7	2	10	7	1
ADAMTS9-AS1	0	4	0	0	0	0	0	0	0	0	0	1	0	0	1	0
ADAMTS9-AS2	0	1	0	0	1	0	2	2	0	1	0	0	0	1	0	0
ADAMTSL1	2	4	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ADAMTSL2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0
ADAMTSL3	33	47	20	29	33	26	54	37	26	30	23	10	22	34	34	10
ADAMTSL4	583	462	344	454	576	409	925	725	1059	1169	1116	652	653	1224	1409	637
ADAMTSL4-AS1	20	18	14	23	14	15	16	32	80	112	100	90	27	41	56	29
ADAMTSL5	211	153	99	159	135	88	210	170	94	113	108	40	40	108	121	34
ADAP1	626	556	393	587	624	442	1034	797	315	330	344	181	226	421	467	184
ADAP2	16	14	11	12	15	18	29	20	11	19	8	7	23	18	30	11
ADAR	19554	16009	11145	17644	20636	17982	33567	21620	9736	11803	9915	6425	8641	16326	16621	7994
ADARB1	725	557	468	701	711	576	1176	811	635	783	576	334	445	915	951	514
ADARB2	21	16	12	26	45	37	79	40	16	23	23	22	22	46	61	27
ADARB2-AS1	1	0	0	0	2	0	2	2	0	1	1	0	0	1	3	1
ADAT1	1179	1013	717	1043	1134	879	1808	1333	765	977	852	598	683	1258	1434	694
ADAT2	1552	1183	926	1357	1181	944	1912	1381	1097	1246	1088	694	941	1393	1620	794
ADAT3	316	248	127	201	227	151	494	286	96	124	86	48	40	109	123	54
ADCK1	304	294	214	335	249	212	408	307	188	242	209	122	120	250	263	118
ADCK2	1561	1276	774	1306	1036	793	1738	1287	676	748	596	360	400	850	881	372
ADCK3	2761	2558	1750	2629	3282	2586	5091	4068	1543	1746	1694	1150	1358	2744	3376	1615
ADCK4	799	804	453	810	559	465	951	698	460	583	510	318	277	519	630	263
ADCK5	429	377	255	361	345	250	558	415	568	563	499	299	268	558	604	300
ADCY1	12	7	7	12	10	13	19	10	4	11	16	2	13	17	22	8
ADCY10	4	8	2	3	8	5	10	5	19	24	26	14	22	32	37	12
ADCY10P1	84	79	48	72	183	126	240	201	96	110	134	103	169	287	319	167
ADCY2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ADCY3	5450	4587	3234	4972	3642	2787	5859	4432	3291	4301	3500	2007	1854	3548	3710	1801
ADCY4	0	1	0	1	0	0	1	0	0	2	1	1	1	1	4	0
ADCY5	10	13	3	9	8	5	8	4	60	78	65	49	31	59	54	36
ADCY6	1912	1563	1199	1642	1274	1079	2259	1552	2012	2285	2110	1330	969	1796	2025	967
ADCY7	1683	1361	876	1398	1285	1053	2311	1674	933	1048	834	529	534	1007	1063	527
ADCY8	0	5	3	2	0	0	1	0	2	0	0	1	0	1	1	0
ADCY9	1269	1039	695	1110	867	724	1496	994	549	747	552	318	348	636	670	339
ADCYAP1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADCYAP1R1	2	1	0	0	0	0	1	0	1	0	1	0	0	0	1	0
ADD1	6050	5113	3459	5721	4273	3536	7539	5446	3850	4819	4107	2422	2266	4217	4598	2192
ADD2	445	388	230	435	394	287	591	427	103	154	122	81	85	162	164	81
ADD3	1655	1566	1095	1637	1886	1687	2894	2280	1213	1312	1260	915	1563	2180	2280	1129
ADD3-AS1	47	44	22	43	37	39	72	58	21	21	20	17	19	54	57	21
ADGB	3	4	0	2	0	0	0	0	0	0	0	1	0	0	0	0
ADGRA1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADGRA1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADGRA2	18	23	12	15	19	13	33	14	16	23	18	7	12	24	14	13
ADGRA3	3762	2955	2190	3431	3081	2545	5271	3721	1876	2217	1900	1124	1588	2755	2811	1394
ADGRB1	2	5	0	0	0	1	0	1	0	2	0	0	0	0	0	0
ADGRB2	88	85	62	84	38	37	79	54	76	85	69	30	34	70	65	29
ADGRB3	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0
ADGRD1	2	3	0	5	0	1	1	1	4	4	2	7	0	0	0	0
ADGRE1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADGRE2	465	370	233	395	302	259	567	421	347	444	351	245	240	432	422	222
ADGRE3	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0
ADGRE4P	2	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0
ADGRE5	2401	2106	1501	2282	2109	1640	3308	2630	849	932	889	521	508	1025	991	483
ADGRF1	102	84	66	129	36	20	85	40	27	36	35	32	23	29	43	17
ADGRF2	1	2	0	1	1	0	0	0	5	5	5	7	0	5	4	5
ADGRF3	198	142	108	170	159	133	284	213	99	111	104	74	88	155	205	82
ADGRF4	207	168	134	186	89	50	160	87	116	99	88	72	32	78	62	45
ADGRF5	3	12	1	1	0	0	0	0	3	4	1	2	0	1	0	1
ADGRG1	646	704	402	690	504	431	780	648	400	411	339	264	186	366	421	186
ADGRG2	264	184	162	236	194	133	286	218	215	257	210	152	183	303	278	146
ADGRG3	2	4	0	2	1	2	0	1	2	0	1	0	1	1	2	2
ADGRG4	0	7	0	0	0	1	0	0	1	0	0	0	0	1	0	0
ADGRG5	0	1	0	0	1	0	0	0	0	2	0	2	0	1	0	0
ADGRG6	3112	2683	2014	3126	857	799	1481	1091	1374	1716	1784	1146	509	767	806	400
ADGRG7	0	2	0	0	0	0	0	0	2	0	1	2	0	1	0	1
ADGRL1	1345	1120	714	1069	1218	1011	2113	1555	581	650	549	279	483	955	970	454
ADGRL2	1015	946	670	1066	648	596	1220	815	262	320	308	208	164	308	322	173
ADGRL3	20	9	10	8	11	13	32	14	3	1	3	2	2	14	6	3
ADGRL3-AS1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADGRL4	1	1	1	1	0	0	0	0	1	0	0	1	0	2	0	0
ADGRV1	9	17	1	7	0	1	1	1	0	1	3	0	1	1	4	0
ADH1A	8	4	2	8	10	6	14	11	2	2	4	1	5	11	12	8
ADH1B	6	7	1	3	0	1	3	2	0	1	2	0	2	0	0	2
ADH1C	0	0	1	1	1	0	0	1	0	0	0	0	0	0	1	0
ADH4	2	2	2	1	1	2	3	1	3	1	1	0	0	1	2	0
ADH5	6424	5463	3536	6027	5359	4549	9013	6454	5520	6547	5646	3519	3692	6735	7300	3427
ADH6	14	8	8	17	23	28	49	39	11	11	12	13	27	45	57	30
ADH7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADHFE1	4	5	2	5	6	3	11	5	23	23	20	12	17	37	35	19
ADI1	4906	4079	2617	4463	4175	3419	6975	5219	5039	5983	5265	3211	3843	6651	7211	3116
ADIG	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
ADIPOQ	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ADIPOQ-AS1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ADIPOR1	11962	9846	6855	11452	10077	8033	17248	12537	10371	12083	10906	6764	7028	12800	14255	6535
ADIPOR2	4100	3326	2588	4068	3482	2926	6155	4568	2450	2911	2812	1570	1966	3647	3859	1853
ADIRF	3724	3519	2255	3545	3058	2523	5062	3959	5302	5907	5273	3288	3261	6691	7065	3200
ADK	3499	2964	2048	3399	2427	2190	4284	3211	2942	3339	2947	1825	1743	2840	2978	1442
ADM	494	306	231	352	220	229	477	326	61	50	60	47	36	53	69	39
ADM2	20	19	14	15	37	26	59	30	7	11	12	9	9	13	16	5
ADM5	103	99	69	100	95	68	196	143	130	138	117	65	60	109	139	58
ADNP	6787	5709	3794	6199	4968	4240	8133	6148	671	816	695	528	535	941	1018	466
ADNP-AS1	65	53	39	45	47	27	92	48	45	46	36	22	30	59	60	30
ADNP2	2210	1750	1224	1910	1609	1440	2846	2085	334	624	512	471	363	563	735	390
ADO	1539	1213	791	1198	448	354	830	556	439	436	383	298	252	349	384	165
ADORA1	64	64	32	65	121	111	187	169	4	5	4	2	9	16	16	8
ADORA2A	8	4	4	7	9	3	6	7	20	14	17	22	7	8	9	6
ADORA2A-AS1	10	3	3	2	3	3	3	1	6	8	19	11	7	4	10	2
ADORA2B	1695	1352	902	1466	946	782	1618	1164	318	342	307	187	212	327	319	126
ADORA3	0	2	0	0	0	0	0	0	3	0	2	1	0	1	1	0
ADPGK	3958	3162	2113	3568	3318	2639	5796	3922	3108	3730	3031	2024	2197	4159	4257	2050
ADPGK-AS1	308	211	116	197	193	95	473	178	157	176	144	60	45	127	163	77
ADPRH	1	2	0	1	0	0	0	0	1	3	3	2	0	5	2	4
ADPRHL1	30	31	23	29	41	36	70	41	58	62	58	40	60	120	122	68
ADPRHL2	1358	1155	849	1405	1166	941	2066	1358	467	516	435	296	314	653	726	367
ADPRM	237	209	146	234	154	127	279	209	124	114	135	104	88	90	119	71
ADRA1A	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0
ADRA1B	21	14	17	20	15	11	16	18	0	7	1	0	2	3	4	4
ADRA1D	2	0	0	2	3	1	5	2	22	5	12	2	8	11	13	3
ADRA2A	0	1	0	0	0	0	0	0	19	26	20	6	19	17	39	13
ADRA2B	1	3	1	1	0	0	0	0	2	1	0	2	1	4	1	0
ADRA2C	18	15	4	12	15	10	21	15	10	9	10	2	6	8	9	13
ADRB1	9	9	4	3	14	11	16	16	0	0	0	0	0	1	3	0
ADRB2	750	443	403	666	352	278	627	381	214	213	202	125	119	195	226	111
ADRB3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADRBK1	3323	2936	2026	3010	3401	2813	5936	4507	3072	3695	2963	1700	2057	4156	4711	2091
ADRBK2	767	657	468	709	524	476	922	629	413	448	407	255	302	455	494	266
ADRM1	7625	6958	4742	7215	6147	4688	10528	7848	2948	3350	2981	2027	1637	3026	3449	1571
ADSL	4896	4131	2712	4443	4226	3588	7142	5271	2125	2554	2160	1233	1501	2978	3035	1414
ADSS	8297	7154	4874	7394	8713	7264	14925	10978	2833	3302	2666	1619	3546	6018	5702	3014
ADSSL1	140	133	65	95	70	62	142	110	94	102	60	53	56	99	99	54
ADTRP	106	85	36	78	97	73	130	81	65	84	76	64	50	82	117	50
AEBP1	1	4	4	3	3	7	4	4	0	1	1	2	1	3	5	1
AEBP2	1306	1076	678	1211	912	787	1508	1070	113	107	108	84	99	115	140	65
AEN	2807	2354	1711	2766	2781	2136	4709	3345	918	1059	1071	794	496	904	1094	453
AES	6524	5628	3637	5825	4784	3736	7877	6126	7018	7770	6501	3425	2946	6107	7024	2850
AFAP1	2991	2647	1408	2137	1801	1468	3051	2035	530	637	490	298	260	516	541	290
AFAP1-AS1	323	342	171	230	251	188	354	245	54	85	63	36	35	66	65	37
AFAP1L1	1355	1082	771	1277	839	635	1427	1054	661	831	707	384	388	717	670	324
AFAP1L2	189	137	95	158	107	79	222	142	63	85	84	41	32	52	47	33
AFF1	3456	2828	2006	3120	2531	2234	3963	2898	758	907	811	680	544	954	890	469
AFF2	24	15	18	11	10	8	12	9	5	17	4	1	2	6	5	3
AFF3	1	1	0	1	0	0	1	0	1	3	0	1	0	0	0	0
AFF4	9020	7197	4950	7519	6136	5198	9988	7065	2503	3196	2950	2570	2545	3390	3862	1911
AFG3L1P	953	679	591	911	972	750	1648	1175	380	421	405	249	246	581	631	322
AFG3L2	6554	5287	3583	5928	5972	4822	9944	7349	2925	3451	3144	1916	2480	4536	4657	2350
AFM	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AFMID	614	567	404	634	518	417	900	714	562	602	514	370	369	652	765	342
AFP	0	1	0	2	0	0	0	2	0	0	2	1	1	3	1	0
AFTPH	1424	1095	817	1329	902	794	1567	1148	355	382	393	345	322	446	457	226
AGA	470	437	283	459	343	293	538	420	474	526	484	315	311	546	567	264
AGAP1	2131	1873	1294	1986	1412	1133	2389	1805	867	976	843	489	504	887	901	495
AGAP1-IT1	10	7	8	5	6	7	12	13	6	13	14	13	12	23	32	10
AGAP11	37	32	22	32	46	30	68	57	73	73	75	61	53	108	108	47
AGAP2	510	436	273	416	370	284	639	510	128	168	111	70	68	166	162	104
AGAP2-AS1	614	539	329	505	482	334	776	615	160	189	131	81	82	195	198	130
AGAP3	3436	2918	2096	3088	2354	1855	3895	2964	1635	1785	1571	846	763	1504	1828	803
AGAP4	105	75	52	96	50	60	111	90	60	87	80	50	39	95	104	56
AGAP5	84	80	53	55	87	55	106	79	170	206	167	110	120	198	232	98
AGAP6	301	252	216	285	254	192	410	297	242	292	233	152	147	305	288	120
AGAP7P	6	4	2	3	5	0	8	6	5	8	6	1	5	7	9	3
AGAP9	213	165	99	171	145	141	244	207	262	275	276	160	173	319	377	155
AGBL1	2	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AGBL1-AS1	5	4	5	4	3	2	4	3	0	1	3	0	0	1	0	0
AGBL2	2	4	1	6	2	2	2	3	6	1	6	10	4	4	8	7
AGBL3	55	28	27	32	65	48	64	64	36	54	52	28	63	94	136	48
AGBL4	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AGBL4-IT1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGBL5	1675	1494	959	1523	1547	1202	2517	1864	1843	2224	1899	1030	1164	2296	2475	1129
